game,league,blueteam,redteam,golId,event3,event4,event5,event6,event7,event8,event9,event10,event11,event12,event13,event14,event15,event16,event17,event18,event19,event20,event21,event22,event23,event24,event25,event26,event27,event28,event29,event30,event31,event32,event33,event34,event35,event36,event37,event38
NA1_4170806914,Proving Grounds Circuit,Golden Guardians Academy,Dare Gaming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA1_4171095985,Proving Grounds Circuit,Immortals Area of Effect,Team Amibition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA1_4170806921,Proving Grounds Circuit,Wildcard Aces,Wildcard Gaming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA1_4170926227,Proving Grounds Circuit,Dinka Never Homeless Again,Evil Geniuses Prodigies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA1_4170557244,Proving Grounds Circuit,No Ace,Grand View University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA1_4171086065,Proving Grounds Circuit,No Team,Third Party,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA1_4170946197,Proving Grounds Circuit,University of Toronto Scarborough,Illinois State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA1_4170936357,Proving Grounds Circuit,"University of California, Irvine",Trance's Tyrants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA1_4171066428,Proving Grounds Circuit,Zodiac Esports,Winthrop University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA1_4170946192,Proving Grounds Circuit,Verity Esports,Nameless Randoms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA1_4170696694,Proving Grounds Circuit,Goose Gaming,Dark Matter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA1_4170696659,Proving Grounds Circuit,Supernova,Radiance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA1_4170946183,Proving Grounds Circuit,Meme City Esports,Taco Gaming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA1_4170926234,Proving Grounds Circuit,Maryville University,Bay State College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA1_4171106139,Proving Grounds Circuit,Mount Olympus,University of Michigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT01_2690439,LCK CL,Hanwha Life Esports Challengers,T1 Challengers,35968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT01_2690444,LCK CL,Nongshim RedForce Challengers,DWG KIA Challengers,35969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT01_2690460,LCK CL,KT Rolster Challengers,DRX Challengers,35970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT01_2690464,LCK CL,Fredit BRION Challengers,Kwangdong Freecs Challengers,35971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT01_2690479,LCK CL,Liiv SANDBOX Challengers,Gen.G Challengers,35972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT04_2110115,Ultraliga,Illuminar Gaming,Goskilla,36023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT04_2090119,Ultraliga,Gentlemen's Gaming,Team ESCA Gaming,36024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT04_2090125,Ultraliga,devils.one,Zero Tenacity,36025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT04_2110134,Prime League,Eintracht Spandau,GamerLegion,35934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT01_2700685,Prime League,E WIE EINFACH E-SPORTS,WAVE Esports,35936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT04_2090130,Ultraliga,Forsaken,Iron Wolves,36026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT01_2700707,Prime League,PENTA 1860,MOUZ,35933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT04_2090131,Ultraliga,AGO ROGUE,Komil&amp;Friends,36027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT01_2700755,Prime League,SK Gaming Prime,FC Schalke 04 Esports,35935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT01_2700783,Prime League,Berlin International Gaming,Unicorns of Love Sexy Edition,35937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA1_4173820160,Proving Grounds Circuit,Wildcard Aces,"University of California, Irvine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA1_4173490835,Proving Grounds Circuit,Supernova,Golden Guardians Academy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA1_4173740283,Proving Grounds Circuit,Dare Gaming,Winthrop University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA1_4173750240,Proving Grounds Circuit,Illinois State University,Third Party,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA1_4173820124,Proving Grounds Circuit,Team Amibition,Nameless Randoms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA1_4173600524,Proving Grounds Circuit,Mount Olympus,Meme City Esports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA1_4173830141,Proving Grounds Circuit,University of Toronto Scarborough,Trance's Tyrants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA1_4173251746,Proving Grounds Circuit,Dark Matter,Radiance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA1_4173690448,Proving Grounds Circuit,Zodiac Esports,Goose Gaming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA1_4173171825,Proving Grounds Circuit,Immortals Area of Effect,Evil Geniuses Prodigies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA1_4173840129,Proving Grounds Circuit,No Ace,Verity Esports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA1_4173580606,Proving Grounds Circuit,Grand View University,Dinka Never Homeless Again,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA1_4173570661,Proving Grounds Circuit,Taco Gaming,Glaive Esports Prime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA1_4173680458,Proving Grounds Circuit,Wildcard Gaming,No Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA1_4173730352,Proving Grounds Circuit,Bay State College,University of Michigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA1_4173850244,Proving Grounds Circuit,Maryville University,100 Thieves Next,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA1_4173451559,Proving Grounds Circuit,Third Party,Meme City Esports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA1_4173481418,Proving Grounds Circuit,Wildcard Gaming,Grand View University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA1_4173481423,Proving Grounds Circuit,Taco Gaming,Supernova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA1_4173571158,Proving Grounds Circuit,Glaive Esports Prime,Dark Matter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA1_4173850614,Proving Grounds Circuit,Zodiac Esports,Dinka Never Homeless Again,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA1_4173451548,Proving Grounds Circuit,Illinois State University,Evil Geniuses Prodigies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA1_4173820729,Proving Grounds Circuit,Maryville University,Team Amibition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA1_4173680959,Proving Grounds Circuit,Nameless Randoms,No Ace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA1_4173750798,Proving Grounds Circuit,Golden Guardians Academy,No Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA1_4173252331,Proving Grounds Circuit,Wildcard Aces,University of Michigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA1_4173591163,Proving Grounds Circuit,Winthrop University,Trance's Tyrants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA1_4173690956,Proving Grounds Circuit,University of Toronto Scarborough,Goose Gaming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA1_4173690943,Proving Grounds Circuit,"University of California, Irvine",Bay State College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA1_4173690970,Proving Grounds Circuit,Verity Esports,Mount Olympus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA1_4173491449,Proving Grounds Circuit,Dare Gaming,Radiance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA1_4172983024,Proving Grounds Circuit,100 Thieves Next,Immortals Area of Effect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA1_4173721306,Proving Grounds Circuit,Golden Guardians Academy,100 Thieves Next,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA1_4173661674,Proving Grounds Circuit,University of Toronto Scarborough,University of Michigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA1_4173821271,Proving Grounds Circuit,Team Amibition,Third Party,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA1_4173492000,Proving Grounds Circuit,Glaive Esports Prime,Dinka Never Homeless Again,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA1_4173661680,Proving Grounds Circuit,Illinois State University,"University of California, Irvine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA1_4173681473,Proving Grounds Circuit,Supernova,Grand View University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA1_4173851179,Proving Grounds Circuit,Trance's Tyrants,Dark Matter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA1_4173661673,Proving Grounds Circuit,Wildcard Aces,Winthrop University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA1_4173481965,Proving Grounds Circuit,Nameless Randoms,Meme City Esports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA1_4173591669,Proving Grounds Circuit,No Team,Maryville University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA1_4173691457,Proving Grounds Circuit,Goose Gaming,Verity Esports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA1_4173452063,Proving Grounds Circuit,Evil Geniuses Prodigies,Bay State College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA1_4173581691,Proving Grounds Circuit,Wildcard Gaming,Dare Gaming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA1_4173462114,Proving Grounds Circuit,Zodiac Esports,Mount Olympus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA1_4173731459,Proving Grounds Circuit,Immortals Area of Effect,Taco Gaming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA1_4173721657,Proving Grounds Circuit,Radiance,No Ace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT01_2700815,LCK,DRX,Liiv SANDBOX,35817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT01_2690695,LCK,DRX,Liiv SANDBOX,35818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT01_2690705,LCK,T1,Kwangdong Freecs,35820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT01_2690725,LCK,Kwangdong Freecs,T1,35821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT04_2110158,Ultraliga,Goskilla,Zero Tenacity,36028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT04_2090168,Ultraliga,Iron Wolves,Illuminar Gaming,36029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT01_2690815,NLC,MNM Gaming,Vanir,35948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT04_2090170,LFL,Misfits Premier,Karmine Corp,35797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT04_2110175,Ultraliga,Forsaken,AGO ROGUE,36030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT01_2690835,NLC,Riddle Esports,NYYRIKKI,35949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT04_2090187,LFL,GamersOrigin,GameWard,35798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT04_2110186,Ultraliga,Komil&amp;Friends,Gentlemen's Gaming,36031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT01_2690862,NLC,Astralis Talent,Team Singularity,35950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT04_2090207,LFL,Vitality.Bee,Solary,35799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT04_2110193,Ultraliga,devils.one,Team ESCA Gaming,36032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT01_2690882,NLC,Bifrost,Dusty,35951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT04_2090210,LFL,Team BDS Academy,Team Oplon,35800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT01_2690906,NLC,JD|XL,X7 Esports,35952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT04_2090214,LFL,Mirage Elyandra,LDLC OL,35801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT01_2701100,Proving Grounds Circuit,Golden Guardians Academy,"University of California, Irvine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT01_2701108,Proving Grounds Circuit,Team Amibition,100 Thieves Next,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT01_2701116,Proving Grounds Circuit,Golden Guardians Academy,"University of California, Irvine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT01_2701117,Proving Grounds Circuit,Team Amibition,100 Thieves Next,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT01_2701131,Proving Grounds Circuit,Golden Guardians Academy,"University of California, Irvine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT01_2701132,Proving Grounds Circuit,100 Thieves Next,Team Amibition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT01_2701145,Proving Grounds Circuit,Wildcard Gaming,Bay State College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT01_2701152,Proving Grounds Circuit,Radiance,No Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT01_2701158,Proving Grounds Circuit,Wildcard Gaming,Bay State College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT01_2701159,Proving Grounds Circuit,No Team,Radiance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT01_2701183,Proving Grounds Circuit,Radiance,No Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT01_2691079,LCK CL,Hanwha Life Esports Challengers,Fredit BRION Challengers,35973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT01_2691080,LCK CL,Kwangdong Freecs Challengers,DWG KIA Challengers,35974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT01_2701230,LCK CL,Gen.G Challengers,T1 Challengers,35975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT01_2691081,LCK CL,Liiv SANDBOX Challengers,DRX Challengers,35976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT01_2691082,LCK CL,KT Rolster Challengers,Nongshim RedForce Challengers,35977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT01_2701248,LCK,Nongshim RedForce,Hanwha Life Esports,35823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT01_2701277,LCK,Hanwha Life Esports,Nongshim RedForce,35824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT01_2701282,LCK,Nongshim RedForce,Hanwha Life Esports,35825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT01_2701289,LCK,KT Rolster,DWG KIA,35826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT01_2701333,LCK,KT Rolster,DWG KIA,35827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT04_2090267,LFL,GameWard,LDLC OL,35802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT01_2701375,SL,UCAM Tokiers,Barça eSports,35958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT01_2691269,Prime League,WAVE Esports,MOUZ,35938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT04_2090277,LFL,Team BDS Academy,Solary,35803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT01_2701400,SL,Team Heretics,Giants,35959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT01_2691284,Prime League,Eintracht Spandau,SK Gaming Prime,35941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT01_2701412,SL,KOI,BISONS ECLUB,35960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT04_2090285,LFL,Mirage Elyandra,Karmine Corp,35805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT01_2691301,Prime League,Berlin International Gaming,GamerLegion,35940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT01_2701429,SL,G2 Arctic,MAD Lions Madrid,35961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT04_2090300,LFL,Vitality.Bee,GamersOrigin,35804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT01_2691334,Prime League,FC Schalke 04 Esports,E WIE EINFACH E-SPORTS,35942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT04_2090301,LFL,Team Oplon,Misfits Premier,35806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT01_2701456,SL,Fnatic TQ,Movistar Riders,35962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT01_2691349,Prime League,Unicorns of Love Sexy Edition,PENTA 1860,35939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT01_2691376,Proving Grounds Circuit,Immortals Area of Effect,Winthrop University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT01_2701489,Proving Grounds Circuit,Evil Geniuses Prodigies,Taco Gaming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT01_2701519,Proving Grounds Circuit,Evil Geniuses Prodigies,Taco Gaming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT01_2691392,Proving Grounds Circuit,Winthrop University,Immortals Area of Effect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT01_2701535,Proving Grounds Circuit,Immortals Area of Effect,Winthrop University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT01_2701537,Proving Grounds Circuit,Taco Gaming,Evil Geniuses Prodigies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT01_2701547,Proving Grounds Circuit,Maryville University,Dinka Never Homeless Again,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT01_2701548,Proving Grounds Circuit,Dare Gaming,Supernova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT01_2701556,Proving Grounds Circuit,Maryville University,Dinka Never Homeless Again,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT01_2701557,Proving Grounds Circuit,Supernova,Dare Gaming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT01_2691491,LCK CL,T1 Challengers,Fredit BRION Challengers,35982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT01_2691492,LCK CL,Nongshim RedForce Challengers,Liiv SANDBOX Challengers,35981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT01_2701622,LCK CL,DWG KIA Challengers,Hanwha Life Esports Challengers,35980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
